games;logo;season;city;second_city;country;second_country;country_flag;second_country_flag;region;second_region;canceled;reason;start_date;end_date
1896 Summer;https://upload.wikimedia.org/wikipedia/commons/a/ae/Commemorative_album_of_1896_Olympic_Games_-_cover_by_E._Gilli%C3%A9ron.jpg;Summer;Athens;N/A;Greece;N/A;https://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg;N/A;Europe;N/A;0;N/A;06/04/1896;15/06/1896
1900 Summer;https://upload.wikimedia.org/wikipedia/commons/c/c7/1900_Olympic_Games_Poster_Paris.jpg;Summer;Paris;N/A;France;N/A;https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg;N/A;Europe;N/A;0;N/A;14/05/1900;28/10/1900
1904 Summer;https://upload.wikimedia.org/wikipedia/commons/4/47/1904summerolympicsposter.jpg;Summer;St. Louis;N/A;United States of America;N/A;https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg;N/A;North America;N/A;0;N/A;01/07/1904;23/11/1904
1908 Summer;https://upload.wikimedia.org/wikipedia/commons/d/d7/Olympic_games_1908_London.jpg;Summer;London;N/A;United Kingdom;N/A;https://upload.wikimedia.org/wikipedia/commons/a/a5/Flag_of_the_United_Kingdom_%281-2%29.svg;N/A;Europe;N/A;0;N/A;27/04/1908;31/10/1908
1912 Summer;https://upload.wikimedia.org/wikipedia/en/b/bd/1912_Summer_Olympics_poster.jpg;Summer;Stockholm;N/A;Sweden;N/A;https://upload.wikimedia.org/wikipedia/en/4/4c/Flag_of_Sweden.svg;N/A;Europe;N/A;0;N/A;06/07/1912;22/07/1912
1916 Summer;https://upload.wikimedia.org/wikipedia/commons/9/92/Poster_for_Amsterdam%27s_Summer_Olympics_bid_in_1916.jpg;Summer;Berlin;N/A;Imperial Germany;N/A;https://upload.wikimedia.org/wikipedia/commons/1/1f/Flag_of_Germany_%281867%E2%80%931918%29.svg;N/A;Europe;N/A;1;WW I;N/A;N/A
1920 Summer;https://upload.wikimedia.org/wikipedia/commons/7/73/1920_olympics_poster.jpg;Summer;Antwerp;N/A;Belgium;N/A;https://upload.wikimedia.org/wikipedia/commons/6/65/Flag_of_Belgium.svg;N/A;Europe;N/A;0;N/A;14/08/1920;12/09/1920
1924 Winter;https://upload.wikimedia.org/wikipedia/commons/5/5c/1924WOlympicPoster.jpg;Winter;Chamonix;N/A;France;N/A;https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg;N/A;Europe;N/A;0;N/A;26/01/1924;05/02/1924
1924 Summer;https://upload.wikimedia.org/wikipedia/commons/4/45/1924_Summer_Olympics_logo.svg;Summer;Paris;N/A;France;N/A;https://upload.wikimedia.org/wikipedia/en/c/c3/Flag_of_France.svg;N/A;Europe;N/A;0;N/A;05/07/1924;27/07/1924
1928 Winter;https://upload.wikimedia.org/wikipedia/en/c/c5/1928_Winter_Olympics_poster.jpg;Winter;St. Moritz;N/A;Switzerland;N/A;https://upload.wikimedia.org/wikipedia/commons/0/08/Flag_of_Switzerland_%28Pantone%29.svg;N/A;Europe;N/A;0;N/A;11/02/1928;19/02/1928
1928 Summer;https://upload.wikimedia.org/wikipedia/en/f/f9/1928_Olympics_poster.jpg;Summer;Amsterdam;N/A;Netherlands;N/A;https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg;N/A;Europe;N/A;0;N/A;28/07/1928;12/08/1928
1932 Winter;https://upload.wikimedia.org/wikipedia/commons/b/b1/1932_Winter_Olympics_logo.svg;Winter;Lake Placid;N/A;United States of America;N/A;https://upload.wikimedia.org/wikipedia/commons/a/a9/Flag_of_the_United_States_%28DoS_ECA_Color_Standard%29.svg;N/A;North America;N/A;0;N/A;04/02/1932;13/02/1932
